case_id,continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status
EZYV00582,Asia,Master's,N,Y,41614,1986,Northeast,192994.7301,Year,Y,Certified
EZYV00583,Asia,Bachelor's,N,N,5340,1996,West,57959.2274,Month,Y,Denied
EZYV00584,Asia,Master's,Y,N,42989,2011,Northeast,248943.2519,Year,Y,Certified
EZYV00585,Africa,Doctorate,Y,N,33136,2000,West,105239.0369,Year,Y,Certified
EZYV00586,Europe,Master's,Y,N,13280,1975,West,74296.7773,Year,N,Certified
EZYV00587,Asia,Bachelor's,Y,N,53839,1976,Northeast,15703.8551,Year,Y,Certified
EZYV00588,Asia,Bachelor's,N,N,37747,1998,South,10642.6835,Year,Y,Denied
EZYV00589,Asia,Master's,N,N,9832,1977,Northeast,23966.1122,Year,Y,Certified
EZYV00590,Asia,Bachelor's,Y,N,39330,1974,West,1457.2006,Year,Y,Certified
EZYV00591,Africa,Master's,Y,N,24682,1995,South,81907.0769,Year,Y,Certified
EZYV00592,Asia,Bachelor's,N,Y,45848,1998,Northeast,77751.5091,Year,Y,Certified
EZYV00593,Asia,Master's,Y,N,29534,1975,South,107636.918,Year,Y,Certified
EZYV00594,Europe,High School,N,N,59996,1962,South,58384.1462,Year,N,Denied
EZYV00595,Asia,High School,N,N,55640,2006,West,15872.7413,Year,Y,Denied
EZYV00596,Asia,Doctorate,Y,N,2428,1983,Northeast,17976.3995,Year,Y,Certified
EZYV00597,North America,Master's,Y,N,24666,1997,Northeast,45700.1646,Year,Y,Certified
EZYV00598,Europe,Doctorate,Y,N,12150,1970,South,79284.0638,Year,Y,Certified
EZYV00599,Oceania,Doctorate,Y,N,27023,1978,West,37168.4141,Year,Y,Certified
EZYV00600,Europe,Bachelor's,Y,N,8717,1996,West,91406.4323,Year,Y,Certified
EZYV00601,Asia,Bachelor's,Y,N,32147,1967,Northeast,230570.5943,Year,Y,Certified
EZYV00602,North America,Bachelor's,Y,N,9278,1979,Northeast,65548.4318,Year,Y,Certified
EZYV00603,Africa,Master's,Y,N,37394,2003,West,42266.1494,Year,Y,Certified
EZYV00604,North America,Bachelor's,Y,N,27263,2006,Northeast,166261.108,Year,Y,Certified
EZYV00605,Africa,Doctorate,N,N,59581,1981,South,122822.0833,Year,Y,Certified
EZYV00606,North America,High School,Y,N,52714,1966,South,12004.0531,Year,Y,Certified
EZYV00607,South America,Bachelor's,N,N,36018,1961,Northeast,196994.2713,Year,Y,Certified
EZYV00608,Asia,Bachelor's,Y,N,26931,1993,South,178892.6744,Hour,Y,Denied
EZYV00609,North America,Bachelor's,Y,N,42956,2001,Northeast,244329.1308,Year,Y,Certified
EZYV00610,Asia,Bachelor's,Y,N,40113,1995,West,234588.9936,Year,Y,Certified
EZYV00611,Europe,Master's,N,N,8372,1984,Northeast,146145.2237,Year,Y,Certified
EZYV00612,Europe,Bachelor's,Y,N,22599,1961,South,171568.1191,Year,Y,Denied
EZYV00613,Africa,Master's,Y,N,59530,1973,South,102494.8046,Year,Y,Certified
EZYV00614,Oceania,Doctorate,Y,N,19190,1962,Northeast,222139.1032,Year,Y,Certified
EZYV00615,Asia,Master's,N,Y,809,1987,West,138291.6445,Year,N,Certified
EZYV00616,North America,Master's,Y,N,50056,1978,West,81522.7213,Year,Y,Certified
EZYV00617,North America,Bachelor's,Y,Y,55971,1964,Midwest,2570.9747,Year,Y,Denied
EZYV00618,Asia,Bachelor's,N,Y,39338,1996,Northeast,146695.1513,Year,Y,Certified
EZYV00619,Asia,Bachelor's,Y,N,38104,1982,Northeast,131453.3859,Year,Y,Certified
EZYV00620,Asia,Doctorate,Y,N,21063,2017,South,203006.919,Year,Y,Certified
EZYV00621,North America,Master's,N,N,21572,1985,Midwest,46913.7557,Year,Y,Denied
EZYV00622,Asia,Bachelor's,Y,N,54850,1965,South,203887.2367,Year,Y,Certified
EZYV00623,Oceania,Bachelor's,Y,N,51485,2002,South,4017.8458,Year,Y,Certified
EZYV00624,Asia,Master's,Y,N,29918,2002,West,146910.8817,Hour,Y,Denied
EZYV00625,Oceania,Master's,Y,N,18796,2015,Northeast,99333.7298,Hour,Y,Certified
EZYV00626,Asia,Master's,N,N,11308,2001,South,83013.8262,Year,Y,Certified
EZYV00627,North America,Doctorate,N,N,668,1981,South,108437.3326,Year,Y,Denied
EZYV00628,Asia,Master's,N,N,29001,2000,West,56053.1533,Year,Y,Certified
EZYV00629,Europe,Master's,Y,N,33238,2007,West,46019.7281,Year,Y,Certified
EZYV00630,North America,Bachelor's,N,N,40486,1990,South,201315.6996,Year,Y,Denied
EZYV00631,Africa,Bachelor's,N,N,48308,2007,West,57094.0234,Year,Y,Denied
EZYV00632,South America,Doctorate,Y,N,22036,2018,South,184295.6042,Year,Y,Certified
EZYV00633,Asia,Master's,N,N,10020,2005,Northeast,177897.864,Year,Y,Denied
EZYV00634,Asia,Bachelor's,Y,N,50629,1990,Midwest,8543.4238,Year,Y,Certified
EZYV00635,Asia,Master's,N,N,45751,1989,West,220291.8906,Year,Y,Certified
EZYV00636,Asia,High School,Y,Y,31995,2010,Midwest,197380.9115,Year,Y,Denied
EZYV00637,Europe,Master's,Y,N,2364,2012,West,199057.5989,Year,Y,Certified
EZYV00638,North America,Bachelor's,N,N,28073,1975,Northeast,202335.9248,Year,Y,Certified
EZYV00639,North America,Master's,N,N,37162,1960,South,145721.7966,Year,Y,Certified
EZYV00640,South America,Master's,Y,N,51524,2008,South,248346.5405,Year,Y,Certified
EZYV00641,North America,Bachelor's,Y,N,30498,1974,Northeast,44952.2047,Year,Y,Certified
EZYV00642,North America,High School,N,N,27783,2019,South,18269.5155,Year,Y,Certified
EZYV00643,Asia,Master's,Y,N,22807,1962,South,176101.0346,Year,Y,Certified
EZYV00644,Asia,Bachelor's,Y,Y,24873,2014,Northeast,73625.5219,Year,Y,Certified
EZYV00645,Europe,High School,N,N,997,2000,Midwest,152136.6593,Year,Y,Denied
EZYV00646,South America,Master's,Y,N,6236,1978,Northeast,98047.0629,Year,N,Certified
EZYV00647,Asia,Bachelor's,Y,N,45379,1962,South,83514.3348,Year,Y,Certified
EZYV00648,Asia,Bachelor's,Y,N,21759,2010,West,223333.5064,Year,Y,Certified
EZYV00649,Europe,Bachelor's,N,N,51051,1967,West,35682.456,Year,Y,Denied
EZYV00650,Asia,Master's,Y,N,23831,1965,Northeast,47408.6165,Year,N,Certified
EZYV00651,Asia,Bachelor's,N,N,59811,2007,West,167026.645,Year,N,Certified
EZYV00652,South America,Bachelor's,N,N,10849,2000,West,195693.733,Year,Y,Denied
EZYV00653,Europe,Bachelor's,N,N,11296,1967,Midwest,208087.1801,Year,Y,Denied
EZYV00654,Asia,Bachelor's,Y,N,35275,1980,South,57941.1991,Year,Y,Certified
EZYV00655,South America,Bachelor's,Y,N,48163,1999,Northeast,220551.9319,Year,Y,Certified
EZYV00656,Asia,High School,Y,N,8643,1999,West,152465.754,Year,Y,Denied
EZYV00657,South America,Bachelor's,N,N,30179,1981,Northeast,205839.961,Year,Y,Denied
EZYV00658,Asia,Bachelor's,N,Y,13433,1984,West,17316.7807,Year,Y,Certified
EZYV00659,Europe,Master's,N,N,44234,1964,West,89352.2051,Year,Y,Certified
EZYV00660,Asia,High School,Y,N,33672,1960,West,131311.0233,Year,Y,Certified
EZYV00661,Asia,Bachelor's,Y,N,39259,2018,Midwest,144323.8667,Year,Y,Certified
EZYV00662,South America,Doctorate,N,N,16149,1973,West,24948.0742,Hour,Y,Certified
EZYV00663,Asia,Doctorate,Y,N,17342,2015,Midwest,134756.8295,Year,Y,Certified
EZYV00664,Asia,Master's,N,N,38385,1962,West,166438.511,Year,Y,Certified
EZYV00665,Asia,Bachelor's,Y,Y,21185,2019,Northeast,90526.4524,Year,Y,Certified
EZYV00666,North America,Bachelor's,N,N,41435,1985,West,125284.6632,Year,Y,Certified
EZYV00667,North America,Bachelor's,N,N,9251,2008,West,73283.0921,Year,Y,Certified
EZYV00668,Oceania,Bachelor's,Y,N,18087,2010,Midwest,217650.9679,Year,Y,Denied
EZYV00669,Asia,Bachelor's,Y,N,6114,1981,Northeast,149881.8104,Year,Y,Certified
EZYV00670,Asia,Master's,N,N,5256,2004,South,137908.2193,Year,Y,Certified
EZYV00671,Asia,Bachelor's,Y,N,15756,1980,Midwest,236100.485,Year,Y,Certified
EZYV00672,Europe,Master's,Y,N,29374,2007,Northeast,166299.8946,Year,Y,Certified
EZYV00673,Oceania,Bachelor's,Y,N,8678,2017,West,70099.8957,Year,Y,Denied
EZYV00674,North America,Bachelor's,Y,N,5587,2008,South,160509.9197,Year,N,Certified
EZYV00675,Europe,Master's,N,N,52638,2003,Northeast,240413.5395,Year,Y,Denied
EZYV00676,Asia,Master's,Y,Y,30921,1982,Northeast,6084.8523,Year,Y,Certified
EZYV00677,Africa,Bachelor's,Y,N,42938,1966,Midwest,156722.4336,Year,Y,Certified
EZYV00678,Asia,Master's,N,N,43577,1990,Northeast,39377.3732,Year,Y,Certified
EZYV00679,Asia,Bachelor's,Y,N,6109,1967,West,204151.5859,Year,Y,Certified
EZYV00680,Asia,High School,Y,N,37225,1990,West,160242.9955,Year,N,Denied
EZYV00681,Asia,Master's,N,N,51642,2012,West,234259.9753,Year,Y,Certified
EZYV00682,Asia,Bachelor's,N,Y,26904,1966,South,167460.55,Year,Y,Certified
EZYV00683,Asia,Bachelor's,N,N,51723,2014,Northeast,4501.2795,Year,Y,Certified
EZYV00684,Asia,Bachelor's,N,N,56752,1995,West,127686.3903,Year,Y,Denied
EZYV00685,Europe,Bachelor's,Y,N,32791,1962,Northeast,225936.2823,Year,Y,Certified
EZYV00686,Asia,High School,Y,Y,6118,2003,South,58229.2904,Hour,Y,Certified
EZYV00687,Asia,Bachelor's,N,N,37053,1960,Midwest,20907.5218,Year,Y,Certified
EZYV00688,Africa,Doctorate,N,N,52801,1996,South,180027.9897,Year,Y,Certified
EZYV00689,North America,Master's,Y,Y,34765,1990,Northeast,125726.64,Hour,Y,Certified
EZYV00690,Asia,Bachelor's,Y,N,48010,2004,Midwest,12089.2963,Year,Y,Certified
EZYV00691,Asia,High School,Y,N,32128,1982,Northeast,70122.8251,Year,Y,Denied
EZYV00692,South America,Master's,Y,N,25193,1967,Northeast,81821.8122,Year,Y,Certified
EZYV00693,Asia,High School,N,N,56735,1983,South,167031.7972,Year,Y,Denied
EZYV00694,Asia,Master's,N,Y,9184,2005,West,118005.7351,Year,Y,Certified
EZYV00695,Africa,Master's,Y,N,26864,2017,Midwest,121900.1436,Year,Y,Certified
EZYV00696,Asia,Bachelor's,Y,N,9364,1972,West,201689.6042,Year,Y,Certified
EZYV00697,North America,Bachelor's,Y,N,39288,1981,Midwest,69748.5912,Year,N,Certified
EZYV00698,Europe,High School,Y,N,55309,2012,Northeast,168208.6708,Year,N,Certified
EZYV00699,Europe,High School,N,N,59867,1978,West,92015.8147,Year,Y,Certified
EZYV00700,Asia,Bachelor's,Y,N,14033,1974,Northeast,104708.8379,Year,Y,Certified
EZYV00701,Asia,Doctorate,Y,Y,43660,2009,Midwest,139064.4228,Year,Y,Certified
EZYV00702,Asia,Bachelor's,N,Y,52448,1989,Midwest,173972.5718,Year,Y,Denied
EZYV00703,Asia,Master's,N,N,50025,1994,South,236309.7762,Year,Y,Denied
EZYV00704,South America,Master's,Y,N,30205,1989,Midwest,67398.9884,Year,Y,Certified
EZYV00705,Asia,High School,Y,N,10481,1996,West,26115.5559,Year,N,Denied
EZYV00706,Europe,Bachelor's,Y,N,27712,1976,Northeast,107312.2223,Year,Y,Certified
EZYV00707,North America,Bachelor's,Y,N,46564,2003,West,136769.6565,Year,Y,Certified
EZYV00708,North America,Master's,Y,N,37176,1981,Midwest,57155.3003,Year,Y,Certified
EZYV00709,Asia,Bachelor's,N,N,23305,1991,South,222645.8443,Year,Y,Certified
EZYV00710,Asia,Master's,Y,N,12914,1971,Northeast,199751.9846,Year,Y,Certified
EZYV00711,Oceania,Master's,Y,N,39116,1960,Midwest,123517.2456,Year,Y,Certified
EZYV00712,Europe,Master's,N,N,25710,1994,South,112625.9705,Year,N,Denied
EZYV00713,North America,Doctorate,Y,N,28333,1968,South,10377.1659,Year,Y,Certified
EZYV00714,Africa,Master's,N,N,56309,2014,West,134315.0552,Year,Y,Certified
EZYV00715,North America,Master's,N,Y,562,2017,West,149017.6244,Year,Y,Certified
EZYV00716,Asia,Master's,N,N,14306,1978,South,222929.619,Year,Y,Denied
EZYV00717,Europe,Master's,N,N,55190,1977,Northeast,125374.2968,Year,Y,Certified
EZYV00718,Asia,Master's,N,Y,55296,1990,Midwest,39512.8802,Year,Y,Denied
EZYV00719,Europe,Doctorate,N,N,18160,1972,South,45178.2139,Year,Y,Certified
EZYV00720,Africa,Bachelor's,Y,Y,59652,2011,West,40134.8811,Year,Y,Certified
EZYV00721,Asia,Master's,Y,N,12706,1966,Midwest,234646.0115,Year,Y,Certified
EZYV00722,Asia,Master's,Y,N,3128,1987,Northeast,198388.6365,Year,Y,Certified
EZYV00723,Asia,Master's,Y,N,18437,1971,Midwest,206226.5784,Year,Y,Certified
EZYV00724,Africa,Bachelor's,Y,N,31889,2009,West,210140.293,Hour,Y,Certified
EZYV00725,Asia,Master's,Y,N,375,1968,Midwest,24089.5337,Year,Y,Certified
EZYV00726,Asia,Master's,Y,N,10321,1986,Northeast,175603.7787,Year,Y,Certified
EZYV00727,Asia,Doctorate,Y,N,47457,2010,South,176143.3108,Year,Y,Certified
EZYV00728,Asia,Bachelor's,Y,N,37308,1986,West,56360.4626,Hour,Y,Denied
EZYV00729,Asia,Master's,N,N,36323,1971,Midwest,122768.3094,Year,Y,Denied
EZYV00730,Asia,Master's,Y,N,59372,1969,Island,165675.2349,Year,Y,Certified
EZYV00731,Asia,Doctorate,N,N,13715,1996,South,224354.6419,Year,Y,Certified
EZYV00732,Asia,Doctorate,Y,N,53814,1967,South,27784.2926,Year,Y,Certified
EZYV00733,Asia,Master's,N,N,21321,1981,Northeast,223069.8499,Year,Y,Denied
EZYV00734,Asia,Master's,N,N,55492,1996,West,230619.2587,Year,Y,Certified
EZYV00735,Asia,Bachelor's,Y,Y,46993,1982,Midwest,230917.7367,Year,Y,Certified
EZYV00736,Europe,Doctorate,N,N,12812,2009,West,1407.756,Year,Y,Certified
EZYV00737,Asia,Bachelor's,Y,Y,12575,2001,South,55405.4934,Year,Y,Certified
EZYV00738,Asia,Master's,N,N,32546,1968,Midwest,172873.06,Year,Y,Denied
EZYV00739,Asia,Master's,N,N,30172,2009,Northeast,80570.5973,Year,Y,Certified
EZYV00740,Asia,Bachelor's,Y,N,14101,2014,South,15458.6062,Hour,Y,Certified
EZYV00741,Asia,Bachelor's,N,N,15633,1972,South,190782.9317,Year,Y,Denied
EZYV00742,Asia,Bachelor's,Y,N,53966,1981,South,7342.3297,Year,Y,Denied
EZYV00743,South America,Master's,Y,N,45225,1983,West,111616.1277,Year,Y,Certified
EZYV00744,Asia,Master's,Y,N,11481,1985,West,236904.5075,Year,Y,Certified
EZYV00745,Asia,High School,Y,N,43518,1987,Northeast,110170.16,Year,Y,Certified
EZYV00746,Asia,Master's,Y,N,9250,2013,Northeast,227989.4439,Hour,Y,Certified
EZYV00747,Asia,Bachelor's,N,N,26708,1999,South,102369.2606,Year,Y,Denied
EZYV00748,Asia,Master's,Y,N,744,2013,West,86802.1901,Year,Y,Certified
EZYV00749,North America,Bachelor's,Y,N,38958,1981,South,27024.2241,Year,Y,Certified
EZYV00750,South America,Bachelor's,N,N,10929,1991,South,89651.1091,Year,Y,Certified
EZYV00751,Asia,High School,Y,N,14175,1966,Northeast,84379.2252,Hour,Y,Denied
EZYV00752,Asia,Master's,Y,N,11397,1976,West,211668.4863,Year,Y,Certified
EZYV00753,Asia,Bachelor's,N,N,11016,1995,South,229994.8105,Year,Y,Denied
EZYV00754,Asia,Master's,N,Y,4663,1970,South,5678.1354,Year,Y,Certified
EZYV00755,Europe,Bachelor's,Y,N,33274,2017,South,24744.4514,Year,Y,Certified
EZYV00756,Asia,Bachelor's,Y,N,52066,1976,Northeast,160878.4711,Hour,Y,Certified
EZYV00757,Asia,Bachelor's,N,N,18101,1969,Northeast,121288.7734,Year,Y,Denied
EZYV00758,Africa,Bachelor's,N,N,46803,2006,Northeast,74360.283,Year,Y,Denied
EZYV00759,Asia,Doctorate,Y,Y,32621,1965,West,65124.7835,Year,Y,Certified
EZYV00760,Asia,Bachelor's,Y,N,15280,1979,Northeast,56323.7125,Year,Y,Certified
EZYV00761,North America,Doctorate,Y,N,3715,1971,South,131457.6271,Year,Y,Certified
EZYV00762,Asia,Bachelor's,N,Y,46998,2001,Island,4566.4881,Hour,N,Certified
EZYV00763,Asia,High School,N,N,1389,2010,South,184773.3172,Year,Y,Certified
EZYV00764,Asia,Bachelor's,N,N,25338,1971,South,75236.9244,Year,Y,Denied
EZYV00765,Africa,High School,Y,N,2069,1984,South,106822.4965,Year,Y,Denied
EZYV00766,Asia,Master's,N,N,46534,1988,South,131857.639,Year,Y,Certified
EZYV00767,Asia,Master's,N,N,59389,2001,Northeast,52997.6288,Year,Y,Certified
EZYV00768,Asia,Bachelor's,Y,N,19390,1981,Midwest,220948.9213,Year,N,Certified
EZYV00769,Asia,Master's,N,N,18826,1991,South,170586.8951,Week,Y,Denied
EZYV00770,Europe,Master's,Y,Y,33885,1990,West,217600.0262,Year,Y,Certified
EZYV00771,Asia,Doctorate,Y,N,30126,1960,Midwest,118967.5612,Month,N,Certified
EZYV00772,Europe,Doctorate,N,N,22905,1994,Northeast,108228.6224,Year,Y,Certified
EZYV00773,Europe,Master's,Y,N,21962,1994,West,59438.2136,Year,Y,Certified
EZYV00774,South America,Master's,N,N,11272,2019,Northeast,136301.1222,Year,Y,Certified
EZYV00775,Asia,Master's,Y,N,15056,1990,South,148372.2606,Year,Y,Certified
EZYV00776,South America,Bachelor's,Y,Y,35144,2013,Midwest,105096.8596,Year,Y,Certified
EZYV00777,Europe,Master's,Y,Y,44067,1980,Northeast,36516.5636,Year,Y,Denied
EZYV00778,Asia,High School,Y,N,45053,2001,Island,68421.4947,Year,N,Certified
EZYV00779,North America,Master's,Y,N,30995,2014,West,3760.0271,Year,Y,Certified
EZYV00780,South America,Doctorate,N,N,45190,1969,South,79920.8642,Year,Y,Certified
EZYV00781,Asia,High School,Y,N,35526,1994,Northeast,145273.5924,Year,Y,Certified
EZYV00782,Africa,Master's,Y,N,21387,2015,West,238936.6322,Year,Y,Certified
EZYV00783,Asia,Doctorate,N,N,21211,1993,South,44638.6197,Year,Y,Certified
EZYV00784,Europe,Bachelor's,Y,N,31129,2013,Northeast,14055.0397,Year,Y,Certified
EZYV00785,Oceania,Master's,N,N,18469,1985,South,74218.5597,Year,Y,Denied
EZYV00786,Asia,Doctorate,Y,N,45830,2013,Northeast,39368.065,Year,Y,Certified
EZYV00787,North America,Doctorate,Y,N,11124,1997,Island,173940.6454,Year,Y,Certified
EZYV00788,Asia,Bachelor's,N,N,3284,1988,South,1636.1413,Year,Y,Denied
EZYV00789,North America,Bachelor's,N,N,29476,1972,South,245220.5996,Year,Y,Certified
EZYV00790,Europe,Master's,N,N,4327,1970,West,213945.5355,Hour,Y,Certified
EZYV00791,Asia,Bachelor's,Y,N,11507,1977,West,122769.5139,Year,Y,Certified
EZYV00792,Asia,Bachelor's,Y,N,22582,2005,Midwest,230251.3665,Year,Y,Certified
EZYV00793,Asia,High School,N,Y,265,1988,Midwest,157089.2213,Year,N,Denied
EZYV00794,Asia,Bachelor's,N,Y,13419,1983,Northeast,248442.4662,Month,Y,Denied
EZYV00795,Asia,Master's,N,N,32693,1988,South,69720.8891,Year,N,Certified
EZYV00796,Asia,Master's,Y,N,22488,1980,West,249227.1544,Year,Y,Denied
EZYV00797,Asia,Master's,N,Y,53783,2008,Northeast,45225.7736,Year,Y,Certified
EZYV00798,Asia,Master's,Y,N,5638,1983,West,88483.9082,Year,Y,Certified
EZYV00799,North America,Bachelor's,Y,Y,43187,1988,Northeast,233843.9553,Year,Y,Certified
EZYV00800,North America,Bachelor's,Y,N,35526,1993,Midwest,92761.4629,Year,Y,Certified
EZYV00801,North America,High School,Y,Y,38660,1998,West,52617.127,Year,Y,Certified
EZYV00802,Asia,Bachelor's,N,N,40309,1980,West,15059.8789,Year,Y,Denied
EZYV00803,South America,Bachelor's,Y,N,3155,1964,South,37409.7608,Year,Y,Certified
EZYV00804,Europe,Bachelor's,Y,N,47513,2001,Island,88934.8154,Year,Y,Certified
EZYV00805,Asia,High School,N,N,19891,1993,West,105423.7667,Year,Y,Denied
EZYV00806,Asia,Bachelor's,N,N,39036,1998,West,135704.2934,Year,N,Denied
EZYV00807,Europe,Master's,Y,N,17647,1992,Midwest,203434.281,Year,Y,Certified
EZYV00808,Asia,Master's,N,Y,23791,1990,Northeast,3551.0295,Year,Y,Certified
EZYV00809,Asia,Doctorate,Y,N,42006,2016,Northeast,210310.8096,Year,Y,Certified
EZYV00810,Oceania,Master's,N,N,56096,1963,Northeast,144396.8859,Year,Y,Certified
EZYV00811,Asia,Master's,Y,N,52679,1965,West,189168.219,Year,N,Certified
EZYV00812,Asia,Bachelor's,Y,N,43584,2016,West,189293.4093,Year,Y,Denied
EZYV00813,Oceania,Master's,Y,N,32319,2013,South,225820.0293,Year,N,Certified
EZYV00814,Europe,High School,Y,Y,31667,1984,Midwest,23526.3762,Year,Y,Denied
EZYV00815,Asia,Bachelor's,Y,N,57937,1992,Northeast,142964.519,Year,Y,Certified
EZYV00816,South America,Bachelor's,Y,N,12422,1986,West,227275.5762,Year,Y,Denied
EZYV00817,South America,Bachelor's,N,Y,57245,2019,South,179857.7372,Year,Y,Certified
EZYV00818,Asia,Bachelor's,Y,Y,38943,1987,South,24326.9109,Year,Y,Certified
EZYV00819,Europe,Master's,Y,N,36973,2005,Northeast,153568.2849,Year,Y,Certified
EZYV00820,Asia,Master's,N,N,35509,1981,West,200010.2511,Month,N,Certified
EZYV00821,Asia,Master's,N,N,48751,1982,West,68860.4742,Year,Y,Denied
EZYV00822,Europe,Master's,N,N,41004,2000,South,158196.8101,Year,Y,Certified
EZYV00823,Asia,Master's,Y,N,5703,1983,South,210134.9729,Year,Y,Certified
EZYV00824,Europe,High School,Y,N,46870,1960,West,131061.9656,Year,Y,Certified
EZYV00825,South America,Master's,Y,N,43728,1970,South,48707.9628,Year,N,Certified
EZYV00826,Asia,Master's,Y,Y,54904,2012,West,137510.5941,Year,Y,Certified
EZYV00827,Europe,Bachelor's,Y,N,56189,1982,South,147083.3825,Year,Y,Certified
EZYV00828,Asia,Bachelor's,N,N,56944,1966,Midwest,100832.6225,Year,Y,Denied
EZYV00829,South America,Doctorate,N,N,2580,2016,West,169968.2328,Year,Y,Certified
EZYV00830,Asia,Master's,N,N,37816,2019,Northeast,108446.5571,Year,N,Certified
EZYV00831,Europe,Bachelor's,Y,N,56065,1989,West,219375.7909,Year,Y,Certified
EZYV00832,Europe,Master's,N,N,57957,1997,South,197948.0418,Hour,Y,Denied
EZYV00833,Asia,Bachelor's,Y,N,32964,2005,Midwest,201232.0121,Year,Y,Certified
EZYV00834,Europe,Bachelor's,N,N,54686,1963,West,131613.961,Year,Y,Certified
EZYV00835,North America,Bachelor's,Y,N,52828,1977,Northeast,49247.6856,Year,Y,Certified
EZYV00836,Europe,Bachelor's,Y,Y,171,1993,West,181160.5704,Year,Y,Certified
EZYV00837,North America,Master's,Y,N,53100,1992,Northeast,17416.5536,Year,Y,Certified
EZYV00838,Oceania,High School,N,N,38262,1979,Midwest,129490.2191,Year,Y,Denied
EZYV00839,Asia,Master's,N,N,34429,1960,Midwest,13434.1746,Year,Y,Certified
EZYV00840,Asia,Bachelor's,N,N,10720,2017,West,132198.9881,Hour,Y,Denied
EZYV00841,Asia,Master's,N,N,55121,1996,South,171543.3578,Year,Y,Certified
EZYV00842,North America,Master's,N,N,17722,2005,West,104915.722,Week,Y,Denied
EZYV00843,Asia,Master's,N,N,25078,1986,South,104342.411,Year,Y,Certified
EZYV00844,Asia,Master's,Y,N,17860,1990,Northeast,30873.9038,Year,Y,Certified
EZYV00845,Asia,Doctorate,N,N,58178,1986,Midwest,75602.0314,Year,Y,Certified
EZYV00846,South America,Master's,Y,N,28995,1985,South,111179.5754,Year,Y,Certified
EZYV00847,Asia,Master's,Y,N,6854,2000,South,215917.8222,Year,Y,Certified
EZYV00848,Europe,Master's,Y,N,666,2019,Northeast,224515.3796,Year,Y,Certified
EZYV00849,Asia,Bachelor's,Y,N,58810,2006,Island,238404.3095,Year,N,Certified
EZYV00850,Africa,Bachelor's,N,Y,14159,2000,Midwest,25245.8715,Year,Y,Certified
EZYV00851,Asia,Bachelor's,N,N,46246,1960,South,74193.4607,Hour,Y,Denied
EZYV00852,Asia,Bachelor's,Y,N,1761,1990,Northeast,115835.6471,Year,Y,Certified
EZYV00853,South America,Bachelor's,N,N,53809,2017,West,160507.6073,Year,Y,Certified
EZYV00854,Africa,Bachelor's,Y,N,39038,1983,South,175759.0627,Year,Y,Certified
EZYV00855,Asia,Master's,Y,Y,13496,1992,Midwest,196546.8689,Year,N,Certified
EZYV00856,Asia,Bachelor's,Y,Y,53358,1979,Midwest,124069.2778,Year,Y,Certified
EZYV00857,North America,Master's,Y,N,17879,1971,West,139234.7498,Hour,Y,Certified
EZYV00858,South America,Bachelor's,Y,N,59867,2002,Northeast,240150.5581,Year,Y,Certified
EZYV00859,Asia,Master's,Y,N,35977,1978,West,60159.0643,Year,Y,Certified
EZYV00860,Asia,High School,Y,N,26921,1995,Island,200979.1838,Hour,Y,Denied
EZYV00861,North America,Bachelor's,Y,N,3525,1995,South,178012.145,Year,Y,Certified
EZYV00862,North America,High School,N,N,15619,2010,Midwest,35194.4412,Year,Y,Denied
EZYV00863,North America,Master's,Y,Y,3511,2016,South,231637.6248,Year,Y,Certified
EZYV00864,Europe,Bachelor's,Y,N,51188,1993,Midwest,213867.9678,Year,Y,Certified
EZYV00865,Asia,Doctorate,Y,Y,6023,1963,West,194920.2623,Year,Y,Certified
EZYV00866,Africa,Bachelor's,Y,N,6802,1994,Northeast,31868.0412,Year,Y,Certified
EZYV00867,South America,Master's,Y,Y,7482,2013,South,35089.6987,Year,Y,Certified
EZYV00868,North America,Bachelor's,Y,N,58454,1988,Northeast,170862.9749,Year,Y,Certified
EZYV00869,Asia,Master's,N,N,58234,1993,South,26996.0498,Year,Y,Denied
EZYV00870,Asia,Bachelor's,Y,N,42894,2005,Midwest,28506.2384,Year,Y,Certified
EZYV00871,North America,Bachelor's,N,Y,4438,1986,Northeast,100189.8108,Year,Y,Certified
EZYV00872,Asia,Bachelor's,Y,N,30243,1984,Midwest,1543.3966,Hour,Y,Certified
EZYV00873,Oceania,Bachelor's,Y,N,56905,1988,Northeast,180426.554,Year,Y,Certified
EZYV00874,Asia,Bachelor's,Y,N,5812,2011,West,135143.7069,Year,Y,Certified
EZYV00875,North America,Doctorate,Y,N,47618,1989,Midwest,19727.9025,Year,N,Certified
EZYV00876,South America,Bachelor's,Y,N,1106,1979,West,135986.9706,Hour,N,Denied
EZYV00877,Asia,High School,Y,N,48239,1995,Midwest,13711.1506,Year,Y,Denied
EZYV00878,Asia,Doctorate,Y,N,32678,2001,Island,17859.8873,Year,Y,Certified
EZYV00879,Europe,High School,N,N,53275,2014,West,121469.4543,Year,N,Denied
EZYV00880,Europe,Bachelor's,Y,N,24839,2013,West,125055.848,Year,Y,Certified
EZYV00881,Asia,Master's,Y,N,47122,2006,Northeast,84880.8943,Year,Y,Certified
EZYV00882,Europe,Doctorate,N,N,50562,2006,South,155518.5103,Year,N,Certified
EZYV00883,Africa,Master's,Y,N,19504,1986,South,96962.129,Year,Y,Certified
